ACTIVELLA
AFIRMELLE
ALTAVERA
ALYACEN 1/35
ALYACEN 7/7/7
AMABELZ
ANGELIQ
ARANELLE
ASHLYNA
AUROVELA 1.5/30
AUROVELA 1/20
AUROVELA 24 FE
AUROVELA FE 1.5/30
AUROVELA FE 1/20
AVIANE-28
AYUNA
BALCOLTRA
BALZIVA-28
BEKYREE
BEYAZ
BIJUVA
BLISOVI 24 FE
BLISOVI FE 1.5/30
BLISOVI FE 1/20
BREVICON 28-DAY
BRIELLYN
CAMILA
CERINTA
CRYSELLE
CYCLAFEM 0.5/35
CYCLAFEM 1/35
CYCLAFEM 7/7/7
CYCLESSA
CYONANZ
DASETTA 1/35
DASETTA 7/7/7
DAYSEE
DESOGEN
DESOGESTREL AND ETHINYL ESTRADIOL
DROSPIRENONE AND ETHINYL ESTRADIOL
DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM
ELIFEMME
ELINEST
EMOQUETTE
ENPRESSE-28
ENSKYCE
ERRIN
ESTARYLLA
ESTRADIOL
ESTRADIOL AND NORETHINDRONE ACETATE
ESTRADIOL AND NORGESTIMATE
ESTROSTEP FE
ETHYNODIOL DIACETATE AND ETHINYL ESTRADIOL
FALMINA
FAYOSIM
FEMCON FE
FEMHRT
FYAVOLV
GILDAGIA
GILDESS 1.5/30
GILDESS 1/20
GILDESS 24 FE
GILDESS FE 1.5/30
GILDESS FE 1/20
HAILEY 1.5/30
HAILEY FE 1.5/30
HAILEY FE 1/20
HEATHER
ICLEVIA
INCASSIA
INTROVALE
ISIBLOOM
JAIMIESS
JENCYCLA
JUNEL 1.5/30
JUNEL 1/20
JUNEL FE 1.5/30
JUNEL FE 1/20
KAITLIB FE
KALLIGA
KARIVA
KELNOR
KEMEYA
KIMIDESS
KURVELO
LARIN 1.5/30
LARIN 1/20
LARIN 24 FE
LARIN FE 1.5/30
LARIN FE 1/20
LERIBANE
LESSINA-28
LEVONEST
LEVONORGESTREL AND ETHINYL ESTRADIOL
LEVONORGESTREL AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL
LEVORA 0.15/30-28
LO LOESTRIN FE
LO SIMPESSE
LO-MALMOREDE
LO-ZUMANDIMINE
LOESTRIN 21 1.5/30
LOESTRIN 21 1/20
LOESTRIN 24 FE
LOESTRIN FE 1.5/30
LOESTRIN FE 1/20
LORYNA
LOSEASONIQUE
LOW-OGESTREL-28
LUPANETA PACK
MALMOREDE
MARLISSA
MELAMISA
MIBELAS 24 FE
MICROGESTIN 1.5/30
MICROGESTIN 1/20
MICROGESTIN FE 1.5/30
MICROGESTIN FE 1/20
MICRONOR
MILI
MINASTRIN 24 FE
MONO-LINYAH
MYZILRA
NATAZIA
NEXESTA FE
NIKKI
NOR-QD
NORETHINDRONE
NORETHINDRONE ACETATE
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE
NORETHINDRONE AND ETHINYL ESTRADIOL
NORETHINDRONE AND ETHINYL ESTRADIOL (10/11)
NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE
NORGESTIMATE AND ETHINYL ESTRADIOL
NORINYL 1+35 21-DAY
NORINYL 1+35 28-DAY
NORINYL 1+50 28-DAY
NORTREL 0.5/35-28
NORTREL 1/35-21
NORTREL 1/35-28
NORTREL 7/7/7
NYLIA 1/35
NYLIA 7/7/7
OGESTREL 0.5/50-28
ORSYTHIA
ORTHO CYCLEN-28
ORTHO TRI-CYCLEN
ORTHO TRI-CYCLEN LO
ORTHO-NOVUM 1/35-28
ORTHO-NOVUM 7/7/7-28
PHILITH
PIMTREA
PIRMELLA 1/35
PIRMELLA 7/7/7
PORTIA-28
PREVIFEM
QUARTETTE
QUASENSE
SAFYRAL
SEASONALE
SEASONIQUE
SETLAKIN
SIMPESSE
SPRINTEC
SYEDA
SYLEVIA
TAYTULLA
TRI LO SPRINTEC
TRI-ESTARYLLA
TRI-LEGEST 21
TRI-LEGEST FE
TRI-LINYAH
TRI-LO-ESTARYLLA
TRI-LO-MILI
TRI-MILI
TRI-NORINYL 28-DAY
TRI-PREVIFEM
TRI-SPRINTEC
TRIVORA-28
TYDEMY
VELIVET
VIENVA
VIORELE
VOLNEA
VYFEMLA
WERA
YAELA
YASMIN
YAZ
ZOVIA 1/35E-28
ZOVIA 1/50E-28
ZUMANDIMINE
